"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"424","Female","Caucasian",90,3,35,38,26,49
"425","Female","Caucasian",90,4,35,50,37,61
"426","Female","Caucasian",90,5,35,62,50,70
"427","Female","Caucasian",90,6,35,72,0,0
"428","Female","Caucasian",90,0,40,12,0,0
"429","Female","Caucasian",90,1,40,17,12,20
"430","Female","Caucasian",90,2,40,23,16,31
"431","Female","Caucasian",90,3,40,32,22,43
"432","Female","Caucasian",90,4,40,43,31,55
"433","Female","Caucasian",90,5,40,55,44,64
"434","Female","Caucasian",90,6,40,66,0,0
"435","Female","Caucasian",90,0,45,9.9,0,0
"436","Female","Caucasian",90,1,45,14,10,17
"437","Female","Caucasian",90,2,45,20,13,26
"438","Female","Caucasian",90,3,45,27,18,36
"439","Female","Caucasian",90,4,45,37,26,48
"440","Female","Caucasian",90,5,45,48,38,58
"441","Female","Caucasian",90,6,45,60,0,0
"442","Male","Caucasian",50,0,15,3,0,0
"443","Male","Caucasian",50,1,15,4.7,3.2,6.8
"444","Male","Caucasian",50,2,15,7.3,3.9,12
"445","Male","Caucasian",50,3,15,11,5.5,19
"446","Male","Caucasian",50,4,15,17,9,26
"447","Male","Caucasian",50,5,15,24,16,32
"448","Male","Caucasian",50,6,15,34,0,0
"449","Male","Caucasian",50,0,20,2.9,0,0
"450","Male","Caucasian",50,1,20,4.6,3.1,6.4
"451","Male","Caucasian",50,2,20,7,3.7,12
"452","Male","Caucasian",50,3,20,11,5.1,19
"453","Male","Caucasian",50,4,20,15,8.2,25
"454","Male","Caucasian",50,5,20,22,15,30
"455","Male","Caucasian",50,6,20,31,0,0
"456","Male","Caucasian",50,0,25,2.9,0,0
"457","Male","Caucasian",50,1,25,4.5,3,6.2
"458","Male","Caucasian",50,2,25,6.9,3.6,12
"459","Male","Caucasian",50,3,25,10,4.9,19
"460","Male","Caucasian",50,4,25,15,7.9,24
"461","Male","Caucasian",50,5,25,21,15,29
"462","Male","Caucasian",50,6,25,30,0,0
"463","Male","Caucasian",50,0,30,2.6,0,0
"464","Male","Caucasian",50,1,30,4,2.6,5.4
"465","Male","Caucasian",50,2,30,6,3.2,11
"466","Male","Caucasian",50,3,30,9,4.3,16
"467","Male","Caucasian",50,4,30,13,6.8,22
"468","Male","Caucasian",50,5,30,19,13,25
"469","Male","Caucasian",50,6,30,26,0,0
"470","Male","Caucasian",50,0,35,2.3,0,0
"471","Male","Caucasian",50,1,35,3.5,2.3,4.7
"472","Male","Caucasian",50,2,35,5.3,2.8,9.3
"473","Male","Caucasian",50,3,35,7.9,3.7,14
"474","Male","Caucasian",50,4,35,11,5.9,19
"475","Male","Caucasian",50,5,35,17,11,22
"476","Male","Caucasian",50,6,35,23,0,0
"477","Male","Caucasian",50,0,40,2,0,0
"478","Male","Caucasian",50,1,40,3,2,4.1
"479","Male","Caucasian",50,2,40,4.6,2.4,8.2
"480","Male","Caucasian",50,3,40,6.9,3.3,13
"481","Male","Caucasian",50,4,40,10,5.2,17
"482","Male","Caucasian",50,5,40,14,10,20
"483","Male","Caucasian",50,6,40,20,0,0
"484","Male","Caucasian",50,0,45,1.7,0,0
"485","Male","Caucasian",50,1,45,2.7,1.8,3.6
"486","Male","Caucasian",50,2,45,4,2.1,7.2
"487","Male","Caucasian",50,3,45,6,2.8,11
"488","Male","Caucasian",50,4,45,8.8,4.5,15
"489","Male","Caucasian",50,5,45,13,8.8,17
"490","Male","Caucasian",50,6,45,18,0,0
"491","Male","Caucasian",55,0,15,4.2,0,0
"492","Male","Caucasian",55,1,15,6.5,4.4,9.2
"493","Male","Caucasian",55,2,15,10,5.5,16
"494","Male","Caucasian",55,3,15,15,7.9,25
"495","Male","Caucasian",55,4,15,22,12,33
"496","Male","Caucasian",55,5,15,30,21,39
"497","Male","Caucasian",55,6,15,42,0,0
"498","Male","Caucasian",55,0,20,4.2,0,0
"499","Male","Caucasian",55,1,20,6.4,4.3,8.7
"500","Male","Caucasian",55,2,20,9.6,5.3,16
"501","Male","Caucasian",55,3,20,14,7.3,24
"502","Male","Caucasian",55,4,20,21,12,32
"503","Male","Caucasian",55,5,20,29,20,38
"504","Male","Caucasian",55,6,20,39,0,0
"505","Male","Caucasian",55,0,25,4.2,0,0
"506","Male","Caucasian",55,1,25,6.3,4.3,8.5
"507","Male","Caucasian",55,2,25,9.5,5.1,16
"508","Male","Caucasian",55,3,25,14,7,24
"509","Male","Caucasian",55,4,25,20,11,32
"510","Male","Caucasian",55,5,25,28,20,37
"511","Male","Caucasian",55,6,25,38,0,0
"512","Male","Caucasian",55,0,30,3.6,0,0
"513","Male","Caucasian",55,1,30,5.5,3.7,7.4
"514","Male","Caucasian",55,2,30,8.3,4.5,14
"515","Male","Caucasian",55,3,30,12,6.1,22
"516","Male","Caucasian",55,4,30,18,9.6,28
"517","Male","Caucasian",55,5,30,25,18,33
"518","Male","Caucasian",55,6,30,34,0,0
"519","Male","Caucasian",55,0,35,3.2,0,0
"520","Male","Caucasian",55,1,35,4.9,3.3,6.5
"521","Male","Caucasian",55,2,35,7.3,3.9,13
"522","Male","Caucasian",55,3,35,11,5.3,19
"523","Male","Caucasian",55,4,35,15,8.3,25
"524","Male","Caucasian",55,5,35,22,16,29
"525","Male","Caucasian",55,6,35,30,0,0
"526","Male","Caucasian",55,0,40,2.8,0,0
"527","Male","Caucasian",55,1,40,4.2,2.8,5.7
"528","Male","Caucasian",55,2,40,6.4,3.4,11
"529","Male","Caucasian",55,3,40,9.4,4.6,17
"530","Male","Caucasian",55,4,40,14,7.2,22
"531","Male","Caucasian",55,5,40,19,14,26
"532","Male","Caucasian",55,6,40,27,0,0
"533","Male","Caucasian",55,0,45,2.4,0,0
"534","Male","Caucasian",55,1,45,3.7,2.5,4.9
"535","Male","Caucasian",55,2,45,5.6,3,9.7
"536","Male","Caucasian",55,3,45,8.2,4,15
"537","Male","Caucasian",55,4,45,12,6.2,20
"538","Male","Caucasian",55,5,45,17,12,23
"539","Male","Caucasian",55,6,45,23,0,0
"540","Male","Caucasian",60,0,15,5.2,0,0
"541","Male","Caucasian",60,1,15,8,5.5,11
"542","Male","Caucasian",60,2,15,12,7.1,19
"543","Male","Caucasian",60,3,15,18,10,28
"544","Male","Caucasian",60,4,15,25,16,37
"545","Male","Caucasian",60,5,15,35,25,44
"546","Male","Caucasian",60,6,15,46,0,0
"547","Male","Caucasian",60,0,20,5.1,0,0
"548","Male","Caucasian",60,1,20,7.8,5.3,10
"549","Male","Caucasian",60,2,20,12,6.6,19
"550","Male","Caucasian",60,3,20,17,9.3,28
"551","Male","Caucasian",60,4,20,24,15,36
"552","Male","Caucasian",60,5,20,33,24,43
